region	chr	midPos	Nsites
(4253,6018)(497600,499999)(450000,500000)	JASDQU010104321.1	475000	1767	0.820152
(6019,6670)(500000,500677)(500000,550000)	JASDQU010104321.1	525000	653	0.735693
(272,295)(82119,82170)(50000,100000)	JASDQU010104351.1	75000	25	0.055725
(628,1223)(243925,244527)(200000,250000)	JASDQU010104367.1	225000	597	0.546168
(1224,1502)(328841,329139)(300000,350000)	JASDQU010104367.1	325000	280	0.240369
(1503,1861)(358495,358857)(350000,400000)	JASDQU010104367.1	375000	360	0.082712
(321,642)(365968,366305)(350000,400000)	JASDQU010104368.1	375000	323	0.633689
(935,1125)(129640,129838)(100000,150000)	JASDQU010104370.1	125000	192	0.045596
(445,794)(173908,174266)(150000,200000)	JASDQU010104371.1	175000	351	0.280139
(2150,2375)(287091,287319)(250000,300000)	JASDQU010104376.1	275000	227	0.025597
(544,562)(61230,61251)(50000,100000)	JASDQU010104385.1	75000	20	0.068928
(58,192)(173193,173329)(150000,200000)	JASDQU010104390.1	175000	136	0.013287
(193,523)(225929,226298)(200000,250000)	JASDQU010104390.1	225000	332	0.098832
(524,940)(282806,293301)(250000,300000)	JASDQU010104390.1	275000	418	0.034185
(1143,1966)(262281,263125)(250000,300000)	JASDQU010104402.1	275000	825	0.470987
(1967,2077)(301446,301574)(300000,350000)	JASDQU010104402.1	325000	112	0.030005
(416,2915)(56010,59743)(50000,100000)	JASDQU010104403.1	75000	2501	0.344739
(125,1103)(100485,101474)(100000,150000)	JASDQU010104411.1	125000	980	0.344640
(1222,2041)(351450,352287)(350000,400000)	JASDQU010104432.1	375000	821	0.061966
(2042,3932)(504005,509500)(500000,550000)	JASDQU010104432.1	525000	1892	0.235408
(130,543)(51338,52518)(50000,100000)	JASDQU010104433.1	75000	415	0.455682
(963,1167)(163886,164108)(150000,200000)	JASDQU010104436.1	175000	206	0.250155
(20,572)(113018,113577)(100000,150000)	JASDQU010104450.1	125000	554	0.037348
(688,1476)(135775,136563)(100000,150000)	JASDQU010104453.1	125000	790	0.085185
(17,930)(82726,86546)(50000,100000)	JASDQU010104464.1	75000	915	0.378642
(754,1369)(217006,217702)(200000,250000)	JASDQU010104468.1	225000	617	0.003927
(556,681)(103667,103794)(100000,150000)	JASDQU010104484.1	125000	127	0.174034
(355,612)(269558,269982)(250000,300000)	JASDQU010104485.1	275000	259	0.185440
(1578,1852)(238447,246721)(200000,250000)	JASDQU010104489.1	225000	276	0.026680
(1853,1902)(289329,289450)(250000,300000)	JASDQU010104489.1	275000	51	0.030701
(1903,1912)(335585,335599)(300000,350000)	JASDQU010104489.1	325000	11	0.071379
(216,1240)(133082,136327)(100000,150000)	JASDQU010104500.1	125000	1026	0.415716
(2441,2591)(202840,203037)(200000,250000)	JASDQU010104512.1	225000	152	0.195323
(123,376)(423530,423967)(400000,450000)	JASDQU010104517.1	425000	255	0.029519
(239,1446)(303517,304734)(300000,350000)	JASDQU010104519.1	325000	1209	0.589846
(1211,2360)(54324,92358)(50000,100000)	JASDQU010104530.1	75000	1151	0.615883
(753,1000)(72717,73039)(50000,100000)	JASDQU010104539.1	75000	249	0.330186
(1406,6521)(78786,89269)(50000,100000)	JASDQU010104546.1	75000	5117	0.432510
(712,934)(70582,90821)(50000,100000)	JASDQU010104557.1	75000	224	0.484779
(2078,2606)(450000,450529)(450000,500000)	JASDQU010104558.1	475000	530	0.054782
(216,539)(89446,95580)(50000,100000)	JASDQU010104560.1	75000	325	0.025995
(540,842)(199670,199999)(150000,200000)	JASDQU010104560.1	175000	304	0.161191
(843,1709)(200000,227166)(200000,250000)	JASDQU010104560.1	225000	868	0.568431
(688,1397)(205627,230796)(200000,250000)	JASDQU010104567.1	225000	711	0.163904
(69,324)(178925,179304)(150000,200000)	JASDQU010104571.1	175000	257	0.028320
(325,694)(269687,285478)(250000,300000)	JASDQU010104571.1	275000	371	0.229229
(196,770)(445389,445977)(400000,450000)	JASDQU010104572.1	425000	576	0.060815
(6,2218)(215272,231869)(200000,250000)	JASDQU010104577.1	225000	2214	0.497340
(588,1431)(247160,248013)(200000,250000)	JASDQU010104578.1	225000	845	0.797472
(304,314)(53694,53711)(50000,100000)	JASDQU010104601.1	75000	12	0.053702
(368,2784)(242903,246263)(200000,250000)	JASDQU010104604.1	225000	2418	0.625404
(2785,3361)(264199,276497)(250000,300000)	JASDQU010104604.1	275000	578	0.117054
(3362,3743)(300551,308657)(300000,350000)	JASDQU010104604.1	325000	383	0.606681
(3744,3897)(392358,392511)(350000,400000)	JASDQU010104604.1	375000	155	0.041839
(293,380)(95496,95595)(50000,100000)	JASDQU010104607.1	75000	89	0.056784
(381,2245)(309476,347583)(300000,350000)	JASDQU010104607.1	325000	1866	0.459943
(2246,7711)(351638,393441)(350000,400000)	JASDQU010104607.1	375000	5467	0.581604
(7712,8617)(404027,414268)(400000,450000)	JASDQU010104607.1	425000	907	0.012020
(701,1450)(360527,361329)(350000,400000)	JASDQU010104611.1	375000	751	0.100597
(95,969)(132437,135644)(100000,150000)	JASDQU010104621.1	125000	876	0.337743
(126,215)(337651,337749)(300000,350000)	JASDQU010104622.1	325000	91	0.088487
(216,776)(376195,376783)(350000,400000)	JASDQU010104622.1	375000	562	0.347725
(54,823)(148433,149386)(100000,150000)	JASDQU010104627.1	125000	771	0.320538
(2,124)(212883,213018)(200000,250000)	JASDQU010104637.1	225000	124	0.045364
(125,719)(410031,410675)(400000,450000)	JASDQU010104637.1	425000	596	0.163280
(720,1327)(627844,641577)(600000,650000)	JASDQU010104637.1	625000	609	0.027965
(1328,1371)(690434,690516)(650000,700000)	JASDQU010104637.1	675000	45	0.067325
(1372,1447)(709236,709361)(700000,750000)	JASDQU010104637.1	725000	77	0.529146
(808,1033)(63461,63695)(50000,100000)	JASDQU010104638.1	75000	227	0.039186
(3621,3956)(192475,192829)(150000,200000)	JASDQU010104641.1	175000	337	0.619753
(19,454)(138845,139345)(100000,150000)	JASDQU010104642.1	125000	437	0.336000
(455,658)(226248,248717)(200000,250000)	JASDQU010104642.1	225000	205	0.302675
(659,1432)(257647,291872)(250000,300000)	JASDQU010104642.1	275000	775	0.287126
(1433,2145)(310704,314970)(300000,350000)	JASDQU010104642.1	325000	714	0.265377
(436,1211)(217445,218232)(200000,250000)	JASDQU010104646.1	225000	777	0.069281
(260,1392)(382460,384385)(350000,400000)	JASDQU010104647.1	375000	1134	0.555561
(323,1189)(68969,69851)(50000,100000)	JASDQU010104653.1	75000	868	0.833149
(1190,1449)(152284,152557)(150000,200000)	JASDQU010104653.1	175000	261	0.748370
(273,299)(93273,93532)(50000,100000)	JASDQU010104656.1	75000	28	0.076017
(56,253)(163259,163490)(150000,200000)	JASDQU010104663.1	175000	199	0.129623
(2511,2941)(224589,230373)(200000,250000)	JASDQU010104666.1	225000	432	0.055249
(2942,3137)(251243,251457)(250000,300000)	JASDQU010104666.1	275000	197	0.709859
(3138,3264)(341776,341914)(300000,350000)	JASDQU010104666.1	325000	128	0.001979
(1474,1855)(191853,192292)(150000,200000)	JASDQU010104675.1	175000	383	0.034011
(190,313)(350305,350817)(350000,400000)	JASDQU010104677.1	375000	125	0.038231
(314,494)(438277,438457)(400000,450000)	JASDQU010104677.1	425000	182	0.226910
(1797,3430)(181027,198124)(150000,200000)	JASDQU010104680.1	175000	1635	0.424779
(3431,4026)(205960,206571)(200000,250000)	JASDQU010104680.1	225000	597	0.157102
(421,1114)(102939,111862)(100000,150000)	JASDQU010104684.1	125000	695	0.048093
(839,933)(100319,100423)(100000,150000)	JASDQU010104685.1	125000	96	0.019508
(934,1693)(183455,184256)(150000,200000)	JASDQU010104685.1	175000	761	0.697003
(436,1366)(163754,168549)(150000,200000)	JASDQU010104693.1	175000	932	0.605310
(45,57)(188777,188791)(150000,200000)	JASDQU010104700.1	175000	14	0.094350
(58,165)(221225,221476)(200000,250000)	JASDQU010104700.1	225000	109	0.072249
(1350,1415)(275370,275486)(250000,300000)	JASDQU010104704.1	275000	67	0.151514
(588,2583)(56672,69040)(50000,100000)	JASDQU010104719.1	75000	1997	0.892365
(56,868)(157105,158209)(150000,200000)	JASDQU010104725.1	175000	814	0.115997
(1589,4391)(50001,58595)(50000,100000)	JASDQU010104739.1	75000	2804	0.278309
(4392,4526)(175927,176065)(150000,200000)	JASDQU010104739.1	175000	136	0.233749
(422,1121)(52417,81082)(50000,100000)	JASDQU010104744.1	75000	701	0.404433
(394,423)(228514,249995)(200000,250000)	JASDQU010104754.1	225000	31	0.111409
(279,6554)(83584,95069)(50000,100000)	JASDQU010104758.1	75000	6277	0.420167
(96,1142)(173338,174391)(150000,200000)	JASDQU010104766.1	175000	1048	0.349616
(447,1053)(50443,82882)(50000,100000)	JASDQU010104780.1	75000	608	0.067275
(365,484)(104796,104991)(100000,150000)	JASDQU010104783.1	125000	121	0.078300
(34,65)(349662,349699)(300000,350000)	JASDQU010104791.1	325000	33	0.051017
(66,196)(88630,88762)(50000,100000)	JASDQU010104804.1	75000	132	0.085217
(1560,2399)(69907,70747)(50000,100000)	JASDQU010104824.1	75000	841	0.174810
(333,511)(222341,222562)(200000,250000)	JASDQU010104847.1	225000	180	0.044506
(166,1011)(150000,151266)(150000,200000)	JASDQU010104886.1	175000	847	0.578119
(234,785)(152221,165363)(150000,200000)	JASDQU010104901.1	175000	553	0.162752
(786,932)(335695,335873)(300000,350000)	JASDQU010104901.1	325000	148	0.947973
(933,1814)(395519,396546)(350000,400000)	JASDQU010104901.1	375000	883	0.586865
(193,945)(320895,325458)(300000,350000)	JASDQU010104921.1	325000	754	0.473897
(33,1680)(150000,153529)(150000,200000)	JASDQU010104940.1	175000	1649	0.804892
(155,636)(72221,72715)(50000,100000)	JASDQU010104950.1	75000	483	-0.005039
(61,443)(283351,283749)(250000,300000)	JASDQU010104954.1	275000	384	0.011724
(1105,1286)(86132,86736)(50000,100000)	JASDQU010104960.1	75000	183	0.117930
(219,378)(335625,335955)(300000,350000)	JASDQU010105001.1	325000	161	0.267786
(2497,2615)(78851,78975)(50000,100000)	JASDQU010105031.1	75000	120	0.041916
(685,1032)(51608,51971)(50000,100000)	JASDQU010105049.1	75000	349	0.320474
(8903,9031)(167090,167272)(150000,200000)	JASDQU010105086.1	175000	130	0.174194
(151,258)(100000,100107)(100000,150000)	JASDQU010105093.1	125000	109	0.854040
(3420,7632)(74403,79561)(50000,100000)	JASDQU010105121.1	75000	4214	0.400297
(15,790)(114356,115287)(100000,150000)	JASDQU010105168.1	125000	777	0.038525
(741,3392)(223478,227499)(200000,250000)	JASDQU010105177.1	225000	2653	0.008303
(275,754)(106615,107119)(100000,150000)	JASDQU010105182.1	125000	481	0.020338
(451,522)(142163,142288)(100000,150000)	JASDQU010105226.1	125000	73	0.166646
(523,1805)(234665,236015)(200000,250000)	JASDQU010105226.1	225000	1284	0.791560
(320,2162)(124391,133598)(100000,150000)	JASDQU010105227.1	125000	1844	0.041014
(2382,3077)(120386,121414)(100000,150000)	JASDQU010105275.1	125000	697	0.489128
(3078,3763)(167979,168703)(150000,200000)	JASDQU010105275.1	175000	687	0.148989
(922,1129)(471294,471514)(450000,500000)	JASDQU010105291.1	475000	209	0.060790
(18,1090)(220010,221094)(200000,250000)	JASDQU010105294.1	225000	1074	0.548508
(34,357)(128168,129146)(100000,150000)	JASDQU010105349.1	125000	325	0.056154
(86,1099)(251993,253056)(250000,300000)	JASDQU010105352.1	275000	1015	0.697497
(1100,3855)(307330,334689)(300000,350000)	JASDQU010105352.1	325000	2757	0.563708
(32,899)(246883,247943)(200000,250000)	JASDQU010105361.1	225000	869	0.604788
(1232,1583)(55651,56135)(50000,100000)	JASDQU010105376.1	75000	353	0.175542
(223,312)(174420,174521)(150000,200000)	JASDQU010105378.1	175000	91	0.484987
(2268,2287)(88220,88257)(50000,100000)	JASDQU010105389.1	75000	21	0.156026
(82,94)(65841,65854)(50000,100000)	JASDQU010105393.1	75000	14	0.053234
(461,774)(85861,86262)(50000,100000)	JASDQU010105403.1	75000	315	0.027684
(775,1331)(123091,138285)(100000,150000)	JASDQU010105403.1	125000	558	0.791963
(1332,1431)(160517,160618)(150000,200000)	JASDQU010105403.1	175000	101	0.010735
(3797,8565)(55224,80711)(50000,100000)	JASDQU010105446.1	75000	4770	0.234646
(850,983)(54936,55089)(50000,100000)	JASDQU010105466.1	75000	135	0.106380
(878,1305)(54699,77853)(50000,100000)	JASDQU010105481.1	75000	429	0.166701
(1104,1645)(124066,124635)(100000,150000)	JASDQU010105543.1	125000	543	0.534076
(7,185)(103826,104006)(100000,150000)	JASDQU010105574.1	125000	180	0.029696
(21,1889)(151291,153183)(150000,200000)	JASDQU010105586.1	175000	1870	0.729753
(156,1048)(95214,96114)(50000,100000)	JASDQU010105611.1	75000	894	0.122854
(12,210)(100318,100564)(100000,150000)	JASDQU010105639.1	125000	200	0.571399
(155,816)(71400,72066)(50000,100000)	JASDQU010105649.1	75000	663	0.770877
(817,3109)(179510,181811)(150000,200000)	JASDQU010105649.1	175000	2294	0.826011
(731,2528)(67982,70185)(50000,100000)	JASDQU010105660.1	75000	1799	0.390193
(458,479)(146796,146827)(100000,150000)	JASDQU010105681.1	125000	23	0.065234
(2314,2406)(192623,192903)(150000,200000)	JASDQU010105692.1	175000	94	-0.004164
(340,475)(202064,202201)(200000,250000)	JASDQU010105693.1	225000	137	0.000519
(670,818)(255017,255169)(250000,300000)	JASDQU010105718.1	275000	150	0.868941
(399,514)(117015,117136)(100000,150000)	JASDQU010105722.1	125000	117	0.184103
(143,201)(235546,235604)(200000,250000)	JASDQU010105732.1	225000	60	0.344951
(517,1324)(68172,68992)(50000,100000)	JASDQU010105754.1	75000	809	0.628352
(1325,1780)(259159,288672)(250000,300000)	JASDQU010105754.1	275000	457	0.067107
(1781,2836)(324644,337493)(300000,350000)	JASDQU010105754.1	325000	1057	0.021276
(4,996)(100002,129760)(100000,150000)	JASDQU010105763.1	125000	994	0.056261
(1337,1914)(152934,157987)(150000,200000)	JASDQU010105776.1	175000	579	0.046468
(36,313)(139927,140350)(100000,150000)	JASDQU010105783.1	125000	279	0.461105
(3246,3683)(78357,78808)(50000,100000)	JASDQU010105796.1	75000	439	0.374697
(860,1606)(73701,96553)(50000,100000)	JASDQU010105803.1	75000	748	0.056777
(1098,2909)(132176,134009)(100000,150000)	JASDQU010105827.1	125000	1813	0.706598
(42,649)(234194,234889)(200000,250000)	JASDQU010105843.1	225000	609	0.054772
(460,701)(156834,157246)(150000,200000)	JASDQU010105844.1	175000	243	0.078676
(512,3544)(175815,179689)(150000,200000)	JASDQU010105857.1	175000	3034	0.321746
(420,870)(60203,60659)(50000,100000)	JASDQU010105888.1	75000	452	-0.002248
(261,300)(78397,78485)(50000,100000)	JASDQU010105902.1	75000	41	0.059413
(797,1992)(300229,301468)(300000,350000)	JASDQU010105909.1	325000	1197	0.633155
(47,2292)(122010,135295)(100000,150000)	JASDQU010105956.1	125000	2247	0.834824
(175,479)(50892,51219)(50000,100000)	JASDQU010105996.1	75000	306	0.412600
(1006,1820)(71787,72606)(50000,100000)	JASDQU010105997.1	75000	816	0.516885
(1821,1994)(113082,113255)(100000,150000)	JASDQU010105997.1	125000	175	0.047655
(202,351)(193370,193770)(150000,200000)	JASDQU010106001.1	175000	151	0.077885
(352,718)(247216,247583)(200000,250000)	JASDQU010106001.1	225000	368	0.029795
(75,195)(127352,127478)(100000,150000)	JASDQU010106006.1	125000	122	0.177764
(196,628)(232497,232961)(200000,250000)	JASDQU010106006.1	225000	434	0.063756
(629,853)(298397,299999)(250000,300000)	JASDQU010106006.1	275000	226	0.120958
(334,590)(134012,134273)(100000,150000)	JASDQU010106054.1	125000	258	0.040968
(2878,3640)(67690,68960)(50000,100000)	JASDQU010106083.1	75000	764	0.231067
(1180,1668)(77628,78134)(50000,100000)	JASDQU010106093.1	75000	490	0.734004
(453,1536)(60115,64794)(50000,100000)	JASDQU010106116.1	75000	1085	0.445710
(306,409)(101097,101200)(100000,150000)	JASDQU010106170.1	125000	105	0.055382
(556,740)(53992,54338)(50000,100000)	JASDQU010106214.1	75000	186	0.024741
(1240,2842)(105584,134961)(100000,150000)	JASDQU010106217.1	125000	1604	0.475414
(847,898)(177213,177269)(150000,200000)	JASDQU010106235.1	175000	53	0.212137
(157,2853)(59451,83598)(50000,100000)	JASDQU010106237.1	75000	2698	0.815246
(344,405)(161579,161649)(150000,200000)	JASDQU010106263.1	175000	63	0.006576
(1724,2447)(137270,138038)(100000,150000)	JASDQU010106277.1	125000	725	0.256752
(926,952)(121599,121644)(100000,150000)	JASDQU010106348.1	125000	28	0.075034
(446,2041)(91296,92920)(50000,100000)	JASDQU010106355.1	75000	1597	0.281172
(1164,3741)(91913,98921)(50000,100000)	JASDQU010106386.1	75000	2579	0.725133
(385,1013)(133377,134018)(100000,150000)	JASDQU010106459.1	125000	630	0.154302
(578,598)(99976,99999)(50000,100000)	JASDQU010106462.1	75000	22	0.048066
(300,656)(78731,79538)(50000,100000)	JASDQU010106466.1	75000	358	0.060241
(657,1280)(120359,121267)(100000,150000)	JASDQU010106466.1	125000	625	0.480682
(1281,1396)(185904,186071)(150000,200000)	JASDQU010106466.1	175000	117	0.039492
(251,362)(107540,107660)(100000,150000)	JASDQU010106475.1	125000	113	0.024681
(831,1717)(132621,133599)(100000,150000)	JASDQU010106495.1	125000	888	0.066783
(1210,6289)(50000,56370)(50000,100000)	JASDQU010106513.1	75000	5081	0.657272
(1502,2095)(54477,55078)(50000,100000)	JASDQU010106522.1	75000	595	0.682884
(716,1343)(70348,71270)(50000,100000)	JASDQU010106523.1	75000	629	0.334039
(83,2063)(109777,134244)(100000,150000)	JASDQU010106539.1	125000	1982	0.534929
(1045,1887)(221641,222496)(200000,250000)	JASDQU010106547.1	225000	844	0.572340
(1186,2131)(153792,154764)(150000,200000)	JASDQU010106558.1	175000	947	0.708070
(1934,1999)(123153,123221)(100000,150000)	JASDQU010106565.1	125000	67	0.027289
(919,1771)(57758,58650)(50000,100000)	JASDQU010106571.1	75000	854	0.270751
(3174,3270)(55012,55127)(50000,100000)	JASDQU010106587.1	75000	98	0.128707
(609,621)(100000,100018)(100000,150000)	JASDQU010106632.1	125000	14	0.049347
(147,197)(101682,101733)(100000,150000)	JASDQU010106652.1	125000	52	0.048262
(2182,3025)(337764,338610)(300000,350000)	JASDQU010106661.1	325000	845	0.119555
(3538,3745)(112498,112747)(100000,150000)	JASDQU010106678.1	125000	209	0.341573
(1341,1844)(50000,50511)(50000,100000)	JASDQU010106681.1	75000	505	0.721170
(144,217)(275542,275635)(250000,300000)	JASDQU010106704.1	275000	75	0.069018
(131,189)(161353,161476)(150000,200000)	JASDQU010106780.1	175000	60	0.065787
(663,828)(100000,100172)(100000,150000)	JASDQU010106784.1	125000	167	0.285718
(1561,2097)(66953,68621)(50000,100000)	JASDQU010106828.1	75000	538	0.245299
(1110,1134)(125842,125879)(100000,150000)	JASDQU010106847.1	125000	26	0.200200
(1189,2635)(113694,117604)(100000,150000)	JASDQU010106878.1	125000	1448	0.041404
(127,1292)(135001,136216)(100000,150000)	JASDQU010106887.1	125000	1167	0.651445
(598,1405)(52658,69635)(50000,100000)	JASDQU010106936.1	75000	809	0.656374
(1406,2312)(270651,271571)(250000,300000)	JASDQU010106936.1	275000	908	0.145081
(257,1182)(109770,140420)(100000,150000)	JASDQU010106981.1	125000	927	0.403612
(1109,2341)(56814,75732)(50000,100000)	JASDQU010106993.1	75000	1234	0.658891
(27,280)(95747,96002)(50000,100000)	JASDQU010107010.1	75000	255	0.099670
(37,592)(248054,248630)(200000,250000)	JASDQU010107036.1	225000	557	0.178752
(593,1346)(250169,268125)(250000,300000)	JASDQU010107036.1	275000	755	0.372316
(716,906)(178789,178990)(150000,200000)	JASDQU010107073.1	175000	192	0.267304
(320,509)(60747,61061)(50000,100000)	JASDQU010107139.1	75000	191	0.083267
(288,659)(205392,205801)(200000,250000)	JASDQU010107148.1	225000	373	0.312860
(660,716)(341576,341633)(300000,350000)	JASDQU010107148.1	325000	58	0.055857
(808,4091)(50000,92688)(50000,100000)	JASDQU010107151.1	75000	3285	0.827890
(408,565)(161143,161313)(150000,200000)	JASDQU010107158.1	175000	159	0.661886
(648,907)(97793,98485)(50000,100000)	JASDQU010107187.1	75000	261	0.293831
(403,657)(80038,80292)(50000,100000)	JASDQU010107188.1	75000	256	0.053256
(814,1350)(90072,90661)(50000,100000)	JASDQU010107242.1	75000	538	0.425591
(565,1133)(61170,61787)(50000,100000)	JASDQU010107255.1	75000	570	0.354061
(319,1702)(188584,197698)(150000,200000)	JASDQU010107320.1	175000	1385	0.249568
(2619,2828)(58672,92947)(50000,100000)	JASDQU010107329.1	75000	211	0.015768
(595,765)(123349,123555)(100000,150000)	JASDQU010107333.1	125000	172	0.018534
(9,172)(84357,84522)(50000,100000)	JASDQU010107340.1	75000	165	0.045851
(89,191)(219076,219183)(200000,250000)	JASDQU010107350.1	225000	104	0.092975
(744,1501)(363102,387502)(350000,400000)	JASDQU010107355.1	375000	759	0.385932
(1867,4524)(119157,127943)(100000,150000)	JASDQU010107361.1	125000	2659	0.334845
(232,524)(125864,126220)(100000,150000)	JASDQU010107392.1	125000	294	0.032799
(693,1314)(100000,100667)(100000,150000)	JASDQU010107461.1	125000	623	0.280771
(1695,1907)(62673,63073)(50000,100000)	JASDQU010107484.1	75000	214	0.358684
(510,2947)(60282,84050)(50000,100000)	JASDQU010107496.1	75000	2439	0.300076
(2028,2321)(51992,99998)(50000,100000)	JASDQU010107497.1	75000	295	0.051126
(2237,3188)(63456,64416)(50000,100000)	JASDQU010107503.1	75000	953	0.699428
(3189,3355)(138679,138894)(100000,150000)	JASDQU010107503.1	125000	168	0.005183
(89,388)(187466,187796)(150000,200000)	JASDQU010107510.1	175000	301	0.068760
(372,573)(125316,125517)(100000,150000)	JASDQU010107513.1	125000	203	0.055395
(1342,1856)(155802,156321)(150000,200000)	JASDQU010107541.1	175000	516	0.114721
(194,194)(225032,225032)(200000,250000)	JASDQU010107546.1	225000	2	0.053931
(712,1686)(58934,69935)(50000,100000)	JASDQU010107549.1	75000	976	0.271090
(1687,2662)(240237,241223)(200000,250000)	JASDQU010107549.1	225000	977	0.692354
(9,4198)(187701,195747)(150000,200000)	JASDQU010107579.1	175000	4191	0.194247
(460,1147)(137953,139967)(100000,150000)	JASDQU010107603.1	125000	689	0.873090
(1148,1519)(156199,156582)(150000,200000)	JASDQU010107603.1	175000	373	0.022721
(1520,1888)(227563,227942)(200000,250000)	JASDQU010107603.1	225000	370	0.057694
(1889,3816)(254956,283507)(250000,300000)	JASDQU010107603.1	275000	1929	0.423247
(401,504)(57422,57533)(50000,100000)	JASDQU010107624.1	75000	105	0.117057
(2074,2087)(122909,122983)(100000,150000)	JASDQU010107633.1	125000	15	0.067867
(648,10369)(126240,145593)(100000,150000)	JASDQU010107682.1	125000	9723	0.809772
(2716,2824)(151756,194867)(150000,200000)	JASDQU010107804.1	175000	110	0.072390
(325,445)(264987,265112)(250000,300000)	JASDQU010107820.1	275000	122	0.092232
(1115,1742)(226518,227172)(200000,250000)	JASDQU010107834.1	225000	629	0.736267
(256,1281)(106877,107920)(100000,150000)	JASDQU010107839.1	125000	1027	0.393079
(458,1175)(64797,66006)(50000,100000)	JASDQU010107883.1	75000	719	0.038104
(172,181)(92778,92789)(50000,100000)	JASDQU010107884.1	75000	11	0.055150
(534,1281)(67242,67999)(50000,100000)	JASDQU010107903.1	75000	749	0.318851
(1682,2732)(66345,69621)(50000,100000)	JASDQU010107926.1	75000	1052	0.908624
(180,211)(50055,50091)(50000,100000)	JASDQU010107941.1	75000	33	0.062623
(1125,1236)(169126,169262)(150000,200000)	JASDQU010108008.1	175000	113	0.094390
(185,589)(52685,56259)(50000,100000)	JASDQU010108038.1	75000	406	0.078510
(33,100)(78274,78358)(50000,100000)	JASDQU010108052.1	75000	69	0.083561
(2889,3209)(107390,107761)(100000,150000)	JASDQU010108071.1	125000	322	0.337767
(19,147)(190778,190916)(150000,200000)	JASDQU010108075.1	175000	130	0.062402
(103,1970)(82998,86031)(50000,100000)	JASDQU010108077.1	75000	1869	0.473204
(226,851)(200007,201055)(200000,250000)	JASDQU010108087.1	225000	627	0.598637
(481,781)(93900,94235)(50000,100000)	JASDQU010108112.1	75000	302	-0.026595
(516,571)(153430,153489)(150000,200000)	JASDQU010108127.1	175000	57	0.091225
(145,1735)(63037,96476)(50000,100000)	JASDQU010108138.1	75000	1592	0.207435
(492,2178)(81470,84137)(50000,100000)	JASDQU010108151.1	75000	1688	0.388038
(3984,4734)(83698,84453)(50000,100000)	JASDQU010108156.1	75000	752	0.560134
(1421,2261)(113679,114531)(100000,150000)	JASDQU010108173.1	125000	842	0.416184
(147,573)(88131,88628)(50000,100000)	JASDQU010108195.1	75000	428	0.041602
(1412,1547)(114044,114449)(100000,150000)	JASDQU010108224.1	125000	137	0.078529
(1548,1896)(165815,166260)(150000,200000)	JASDQU010108224.1	175000	350	-0.026631
(1072,1986)(285117,286060)(250000,300000)	JASDQU010108277.1	275000	916	0.600090
(1199,1269)(85874,85966)(50000,100000)	JASDQU010108282.1	75000	72	0.065211
(481,893)(101169,101728)(100000,150000)	JASDQU010108286.1	125000	414	0.289054
(172,330)(56529,56689)(50000,100000)	JASDQU010108287.1	75000	160	0.702740
(331,804)(158042,158526)(150000,200000)	JASDQU010108287.1	175000	475	0.778970
(361,794)(127943,129830)(100000,150000)	JASDQU010108312.1	125000	435	0.049559
(530,1073)(132020,132600)(100000,150000)	JASDQU010108330.1	125000	545	0.656147
(2,257)(123329,123652)(100000,150000)	JASDQU010108365.1	125000	257	0.633123
(525,1658)(100259,149999)(100000,150000)	JASDQU010108386.1	125000	1135	0.098730
(151,197)(134525,134694)(100000,150000)	JASDQU010108391.1	125000	48	0.135482
(643,851)(315121,315348)(300000,350000)	JASDQU010108455.1	325000	210	0.150942
(168,502)(59245,59595)(50000,100000)	JASDQU010108491.1	75000	336	0.046256
(503,1240)(340995,344069)(300000,350000)	JASDQU010108491.1	325000	739	0.071998
(1609,2065)(80005,80576)(50000,100000)	JASDQU010108501.1	75000	458	0.014976
(2066,2158)(140896,140991)(100000,150000)	JASDQU010108501.1	125000	94	0.568685
(152,338)(74421,74655)(50000,100000)	JASDQU010108508.1	75000	188	0.120356
(1131,3100)(66661,68923)(50000,100000)	JASDQU010108575.1	75000	1971	0.667111
(347,556)(82891,83203)(50000,100000)	JASDQU010108591.1	75000	211	0.184891
(783,2274)(257881,279806)(250000,300000)	JASDQU010108604.1	275000	1493	0.494586
(2260,2556)(69953,70252)(50000,100000)	JASDQU010108623.1	75000	298	0.979412
(57,484)(335969,336414)(300000,350000)	JASDQU010108627.1	325000	429	0.060339
(591,812)(103528,126923)(100000,150000)	JASDQU010108665.1	125000	223	0.358096
(813,3146)(165064,168991)(150000,200000)	JASDQU010108665.1	175000	2335	0.364199
(423,777)(132725,137930)(100000,150000)	JASDQU010108668.1	125000	356	0.704606
(1126,1444)(181063,181561)(150000,200000)	JASDQU010108700.1	175000	320	0.017869
(1301,2429)(250000,251363)(250000,300000)	JASDQU010108707.1	275000	1130	0.503748
(2062,2549)(197497,197986)(150000,200000)	JASDQU010108754.1	175000	489	0.004812
(307,746)(166697,167186)(150000,200000)	JASDQU010108758.1	175000	441	0.260919
(75,968)(198871,199772)(150000,200000)	JASDQU010108781.1	175000	895	0.087968
(2811,3816)(83703,89268)(50000,100000)	JASDQU010108820.1	75000	1007	0.051401
(110,123)(84940,84992)(50000,100000)	JASDQU010108849.1	75000	15	0.076490
(1039,1114)(57620,57755)(50000,100000)	JASDQU010108896.1	75000	77	0.011955
(598,2810)(65699,68459)(50000,100000)	JASDQU010108900.1	75000	2214	0.657765
(820,828)(84106,84115)(50000,100000)	JASDQU010108918.1	75000	10	0.059161
